moduleId,tDiff,tSync,timeOffsetL,timeOffsetR,effectiveSpeed,pedestalL,pedestalR,energyGainL,energyGainR,lightAtt,PMTSatL,PMTSatR,PMTThresL,PMTThresR
706,120.416,1.55327,-61.7612,58.6547,-8.04807,13,15,16.4695,15.9969,330.144,0.0288216,0.0279945,1.22183,1.3059
707,119.638,2.38108,-62.2001,57.4379,-8.02112,15,13,17.1167,18.2602,291.244,0.0299542,0.0319554,1.12977,1.11002
708,120.244,1.78017,-61.9022,58.3419,-7.97566,13,12,16.6205,16.9217,321.397,0.0290859,0.0296129,1.26325,1.19556
709,119.766,1.30144,-61.1844,58.5815,-8.03582,14,16,16.7256,18.5758,277.363,0.0292697,0.0325076,1.10351,0.942979
710,121.633,1.9532,-62.7697,58.8633,-7.96877,18,15,16.6272,16.7354,309.586,0.0290976,0.0292869,0.967928,1.16996
711,116.569,1.18849,-59.4732,57.0962,-7.97472,16,17,18.2405,16.6433,277.184,0.0319208,0.0291258,1.16637,1.18253
712,117.695,-0.150308,-58.6972,58.9978,-8.02276,15,13,18.4011,17.5444,287.193,0.0322019,0.0307026,1.08394,1.14101
713,119.31,1.22704,-60.8819,58.4278,-7.94946,18,17,16.6886,16.8331,291.098,0.029205,0.0294579,1.19713,1.03394
714,119.829,1.66624,-61.5806,58.2481,-7.94594,16,17,17.3443,16.7883,301.071,0.0303526,0.0293794,1.30091,1.12957
715,117.636,0.85753,-59.6755,57.9604,-8.02854,15,15,16.6656,16.6264,307.091,0.0291648,0.0290962,1.28571,1.14298
716,114.987,0.427523,-57.9211,57.066,-8.04053,16,14,17.1074,16.0517,282.724,0.029938,0.0280904,1.29954,1.35157
717,119.752,1.10809,-60.984,58.7679,-7.96488,16,17,16.5267,17.8763,298.748,0.0289217,0.0312835,1.1975,1.06136
718,119.996,-0.0104286,-59.9874,60.0082,-8.03249,16,13,16.5675,16.5269,312.697,0.0289932,0.0289221,1.14508,1.32561
719,120.949,0.00548854,-60.4802,60.4692,-7.96012,15,23,16.5958,15.6643,308.57,0.0290426,0.0274126,1.20631,1.03564
720,120.597,1.89264,-62.1911,58.4059,-7.96012,14,16,16.8994,17.2285,304.862,0.0295739,0.0301499,1.24961,1.10553
721,120.178,0.503216,-60.5923,59.5859,-7.92622,16,20,16.6064,16.0581,315.116,0.0290612,0.0281016,1.32539,1.22568
722,120.238,0.167403,-60.2864,59.9516,-8.01765,13,13,17.1794,16.3957,316.558,0.030064,0.0286924,1.20376,1.39012
723,117.714,0.494766,-59.3519,58.3624,-8.03632,15,17,16.0049,15.2476,345.213,0.0280087,0.0266832,1.33479,1.26682
724,117.558,1.19674,-59.9758,57.5823,-7.93883,17,14,14.7227,15.1087,343.01,0.0257647,0.0264402,1.38757,1.35854
725,119.658,0.51715,-60.3459,59.3116,-7.97752,17,17,15.3825,15.7459,336.436,0.0269194,0.0275552,1.45233,1.28988
726,120.647,1.05184,-61.3755,59.2718,-7.94175,15,14,14.6602,14.9538,326.411,0.0256553,0.0261692,1.41585,1.35195
727,117.089,0.707165,-59.2515,57.8371,-7.90832,14,20,16.278,15.768,328.202,0.0284864,0.027594,1.16356,1.1976
728,118.846,-0.286538,-59.1364,59.7095,-8.04917,14,13,15.6011,16.437,327.318,0.0273019,0.0287647,1.24279,1.29918
